state,zip_code,county,city
470d20ee-2c88-448f-b012-36512f3dbfc7,90247,Los Angeles,Gardena
470d20ee-2c88-448f-b012-36512f3dbfc7,90248,Los Angeles,Gardena
470d20ee-2c88-448f-b012-36512f3dbfc7,90249,Los Angeles,Gardena
470d20ee-2c88-448f-b012-36512f3dbfc7,90250,Los Angeles,Holly park
470d20ee-2c88-448f-b012-36512f3dbfc7,90254,Los Angeles,Hermosa beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90255,Los Angeles,Huntington park
470d20ee-2c88-448f-b012-36512f3dbfc7,90260,Los Angeles,Lawndale
470d20ee-2c88-448f-b012-36512f3dbfc7,90261,Los Angeles,Lawndale
470d20ee-2c88-448f-b012-36512f3dbfc7,90262,Los Angeles,Lynwood
470d20ee-2c88-448f-b012-36512f3dbfc7,90263,Los Angeles,Malibu
470d20ee-2c88-448f-b012-36512f3dbfc7,90265,Los Angeles,Malibu
470d20ee-2c88-448f-b012-36512f3dbfc7,90266,Los Angeles,Manhattan beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90270,Los Angeles,Maywood
470d20ee-2c88-448f-b012-36512f3dbfc7,90272,Los Angeles,Pacific palisade
470d20ee-2c88-448f-b012-36512f3dbfc7,90274,Los Angeles,Palos verdes est
470d20ee-2c88-448f-b012-36512f3dbfc7,90275,Los Angeles,Zcta 90275
470d20ee-2c88-448f-b012-36512f3dbfc7,90277,Los Angeles,Redondo beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90278,Los Angeles,Redondo beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90280,Los Angeles,South gate
470d20ee-2c88-448f-b012-36512f3dbfc7,90290,Los Angeles,Topanga
470d20ee-2c88-448f-b012-36512f3dbfc7,90291,Los Angeles,Venice
470d20ee-2c88-448f-b012-36512f3dbfc7,90292,Los Angeles,Marina del rey
470d20ee-2c88-448f-b012-36512f3dbfc7,90293,Los Angeles,Playa del rey
470d20ee-2c88-448f-b012-36512f3dbfc7,902HH,Los Angeles,Zcta 902hh
470d20ee-2c88-448f-b012-36512f3dbfc7,90301,Los Angeles,Inglewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90302,Los Angeles,Inglewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90303,Los Angeles,Inglewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90304,Los Angeles,Lennox
470d20ee-2c88-448f-b012-36512f3dbfc7,90305,Los Angeles,Inglewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90401,Los Angeles,Santa monica
470d20ee-2c88-448f-b012-36512f3dbfc7,90402,Los Angeles,Santa monica
470d20ee-2c88-448f-b012-36512f3dbfc7,90403,Los Angeles,Santa monica
470d20ee-2c88-448f-b012-36512f3dbfc7,90404,Los Angeles,Santa monica
470d20ee-2c88-448f-b012-36512f3dbfc7,90405,Los Angeles,Santa monica
470d20ee-2c88-448f-b012-36512f3dbfc7,904HH,Los Angeles,Zcta 904hh
470d20ee-2c88-448f-b012-36512f3dbfc7,90501,Los Angeles,Torrance
470d20ee-2c88-448f-b012-36512f3dbfc7,90502,Los Angeles,Torrance
470d20ee-2c88-448f-b012-36512f3dbfc7,90503,Los Angeles,Torrance
470d20ee-2c88-448f-b012-36512f3dbfc7,90504,Los Angeles,Torrance
470d20ee-2c88-448f-b012-36512f3dbfc7,90505,Los Angeles,Torrance
470d20ee-2c88-448f-b012-36512f3dbfc7,90601,Los Angeles,Whittier
470d20ee-2c88-448f-b012-36512f3dbfc7,90602,Los Angeles,Whittier
470d20ee-2c88-448f-b012-36512f3dbfc7,90603,Los Angeles,Whittier
470d20ee-2c88-448f-b012-36512f3dbfc7,90604,Los Angeles,Whittier
470d20ee-2c88-448f-b012-36512f3dbfc7,90605,Los Angeles,Whittier
470d20ee-2c88-448f-b012-36512f3dbfc7,90606,Los Angeles,Los nietos
470d20ee-2c88-448f-b012-36512f3dbfc7,90620,Orange,Buena park
470d20ee-2c88-448f-b012-36512f3dbfc7,90621,Orange,Buena park
470d20ee-2c88-448f-b012-36512f3dbfc7,90623,Orange,Cerritos
470d20ee-2c88-448f-b012-36512f3dbfc7,90630,Orange,Cypress
470d20ee-2c88-448f-b012-36512f3dbfc7,90631,Orange,La habra heights
